Facility Information ,,,,,,No. Of Water Fountains,,Restroom Type,No. of Baby Changing Stations,No. of Showers,Cooling Center
Facility Name ,Facility Address,CD,Bathroom ONLY,Water ONLY,Combo: Bathroom + Water,Standard,Bottle Fillers ,Number of Restrooms,,,
O'Melveny Park ,"17300 Sesnon Blvd. Granada Hills, CA 91344",12,,,x,7,,2,,8,
Oakridge Estate Park ,"18650 Devonshire Street Los Angeles, CA 91324",12,,x,,,1,,,,
Oakwood Recreation Center ,"767 California Ave. Venice, CA 90291",11,,,x,5,,5,2,1,
Old Maintenence ,"5201 Zoo Drive Los Angeles, CA 90027",4,,x,,2,,,,,
Old Zoo Picnic Area ,"Griffith Park Drive Los Angeles, CA 90027",4,,,x,4,,7,3,,
Orchard Avenue Park ,"4600 South Orchard Avenue Los Angeles, CA 90037",9,,x,,1,,,,,
Orcutt Ranch and Horticulture Center ,"23600 Roscoe Blvd. West Hills, CA 91304",12,,,x,3,,1,1,,
Ord and Yale Street Park ,"524 Ord Street Los Angeles, CA 90012",1,,,x,,1,2,2,,
Oro Vista Park ,"1101 Oro Vista Ave Sunland, CA 91040 ",7,,x,,,1,,,,
Orthopedic Hospital ,"403 W. Adams Blvd. Los Angeles, CA 90007",9,,,x,1,,2,1,,
Pacific Region Headquarters ,"1670 Palos Verdes Dr North Harbor City, CA 90710",15,,,x,,1,,,,
Palisades Recreation Center,"851 Alma Real Drive Pacific Palisades, CA 90272",11,,,x,12,2,5,1,,
Palms Recreation Center ,"2950 Overland Avenue Los Angeles, CA 90064",5,,,x,6,,6,2,,
Pan Pacific Recreation Center ,"7600 Beverly Blvd. Los Angeles, CA 90036",5,,,x,9,2,6,2,,
Pan Pacific Senior Activity Center ,"141 S Gardner St Los Angeles, CA 90036",5,,,x,1,,4,,,
Panorama Recreation Center ,"8600 Hazeltine Avenue Panorama City, CA 91402 ",6,,,x,3,1,7,,,
Parthenia Park ,"21444 Parthenia Street Canoga Park, CA 91304",3,,x,,,1,,,,
Paseo De Cahuenga ,"3300 Cahuenga Blvd. Los Angeles, CA 90068",4,,x,,1,,,,,
Patton Street Park ,"327 Patton Street Los Angeles, CA 90026",1,,x,,1,,,,,
Pecan Grove ,"Zoo Drive Los Angeles, CA 90027",4,,x,,3,,,,,
Pecan Recreation Center ,"127 South Pecan Street Los Angeles, CA 90033",14,,,x,3,,4,,,X
Peck Park Recreation Center ,"560 Western Ave San Pedro, CA 90732",15,,,x,16,1,16,5,,
Pedlow Skate Park ,"17334 Victory Blvd. Encino, CA 91316",6,x,,,,,1,,,
Penmar Recreation Center ,"1341 Lake Street Venice, CA 90291",11,,,x,4,,12,3,1,
Pico Union Vest Pocket Park ,"1827 South Hoover Street Los Angeles, CA 90006",1,,x,,,1,,,,
Poinsettia Recreation Center ,"7341 Willoughby Avenue Los Angeles, CA 90046",5,,,x,2,2,5,1,,
Point Fermin Park ,"807 Paseo del Mar San Pedro, CA 90731",15,,,x,2,2,5,4,,
Pony Rides/Train Rides ,"4400 Riverside Drive Los Angeles, CA 90027",4,,,x,2,1,2,,,
Porter Ranch Community Park aka Jane & Bert Boeckmann Park,"11930 Mason Ave Porter Ranch, CA 91326",12,,,x,2,,3,,,
Porter Ridge Park ,"18799 Sesnon Blvd. Northridge, CA 91326",12,,x,,1,,,,,
Pote Field ,"4663 Crystal Springs Drive Los Angeles, CA 90027",4,,,x,2,,2,,,
Potrero Canyon ,"851 Alma Drive Palisades, CA 90272",11,x,,,,,2,2,,
Prospect Park ,"Echandia Street & Judson Street Los Angeles, CA 90033",14,,x,,2,,,,,
Queen Anne Recreation Cener ,"1240 West Blvd. Los Angeles, CA 90019",10,,,x,4,,4,,,
Ralph C Daniels Field ,"845 W 12th Street San Pedro, CA 90731",15,,,x,1,,4,,,
"Ramon Garcia Recreation Center, Monignor ","1016 South Fresno Street Los Angeles, CA 90023 ",14,,,x,3,1,4,5,1,
Ramona Hall ,"4580 North Figureoa Street Los Angeles, CA 90065",1,,,x,1,,4,,,
Rancho Cienega Sports Center ,"5001 Obama Blvd, Los Angeles, CA 90016",10,,,x,9,1,14,2,4,
Ranger Station ,"4730 Crystal Springs Drive Los Angeles, CA 90027",4,,,x,1,,5,,,
Rena Park ,"510 Leland Park San Pedro, CA 90732",15,,,x,1,,,,,
Reseda Recreation Center/Park,"18411 Victory Blvd. Reseda, CA 91335 ",3,,,x,7,3,4,2,,
Reynier Park ,"2803 Reynier Avenue Los Angeles, CA 90035",10,,,x,4,,3,,,
Hoover-Gage Park,"6265 South Hoover Street Los Angeles, CA 90044",9,,x,,,1,,,,
Rio De Los Angeles State Park,"1900 North San Fernando Road Los Angeles, CA 90065",1,,,x,5,,10,,,
Ritchie Valens Recreation Center ,"10731 Laurel Canyon Blvd. Pacoima, CA 91331 ",7,,,x,7,,10,2,,
Riverside Park ,Stadium Way and Allesandro ,1,,,x,1,1,2,1,,
Robert F. Kennedy Inspiration Park (Ambassador Park) ,"3400 Wilshire Blvd. Los Angeles, CA 90057",10,,x,,2,,,,,
Robert L Burns Park ,"4900 Beverly Blvd Los Angeles, CA 90004",13,,x,,2,,,,,
Robert M. Wilkinson Multipurpose Senior Center ,"8956 Vanalden Ave Northridge, CA 91324",12,,,x,1,,4,,,
Robertson Child Care Center ,"1641 Preuss Road Los Angeles, CA 90035",5,,,x,1,1,2,1,,
Robertson Recreation Center ,"1641 Preuss Road Los Angeles, CA 90035",5,,,x,2,,4,4,,
Rockwood Park ,"1571 Rockwood Street Los Angeles, CA 90026",13,,x,,1,,,,,
Roger Jessup Park,"12467 Osbourne Street Pacoima, CA 91331",7,,x,,2,,,,,
Rose Hill North Park ,"3606 Boundary Avenue Los Angeles, CA 90032",14,,,x,1,2,10,,,
Rose Hill Recreation Center ,"4530 Mercury Avenue Los Angeles, CA 90032",14,,,x,1,2,10,,,
Rosecrans Recreation Center ,"840 West 149th Street Gardena, CA 90247",15,,,x,3,3,5,,,
Ross Snyder Recreation Center ,"1501 East 41st Street Los Angeles, CA 90011",9,,,x,4,1,5,1,,
Ross Valencia Community Park,"1st & Chicago Street Los Angeles, CA 90033",14,,x,,1,,,,,
Runnymede Park,"20200 Runnymede Street Winnetka, CA 91306",3,,,x,2,,2,,,
Runyon Canyon Park,"2000 North Fuller Los Angeles, CA 90046",4,,x,,3,6,,,,
Rustic Canyon Recreation Center ,"601 Latimer Road Santa Monica, CA 90402",11,,,x,4,1,4,2,,
Saint James Park ,"Adams Blvd and Severance Street Los Angeles, CA 90007",1,,x,,2,,,,,
San Fernando Road Park ,"12395 West Aragon Way Sylmar, CA 91342",7,,x,,,1,,,,
San Julian Park ,"526 San Julian Street Los Angeles, CA 90013",14,,x,,,1,,,,
San Pascual Park ,"5668 Via Marisol Los Angeles, CA 90042",14,,,x,4,,4,1,,
San Pedro Plaza Park ,"7000 South Beacon Street San Pedro, CA 90731",15,,x,,3,1,,,,
Sean Brown Park (Formerly Chase Park) ,"22525 Chase Street West Hills, CA 91304",12,,x,,,1,,,,
Seily Rodriguez Park,"5707 Lexington Ave Los Angeles, CA 90038",13,,x,,1,,,,,
Selma Park ,"6567 Selma Avenue Los Angeles, CA 90028 ",13,,x,,1,,,,,
Seoul International Park ,"3250 San Marino Street Los Angeles, CA 90006",10,,,x,3,,4,1,,
Sepulveda Basin Off-Leash Dog Park,"17550 Victory Blvd. Encino, CA 91406",6,,x,,,5,,,,
Sepulveda Basin Sports Complex,"6301 Balboa Blvd. Encino, CA 91316",6,,,x,3,,4,,,
Sepulveda Garden Center ,"16633 Magnolia Blvd. Encino, CA 91406",4,,,x,2,,2,,,
Sepulveda Recreation Center ,"8825 Kester Avenue Panorama, CA 91405",6,,,x,5,,2,,,
Sepulveda Wildlife Area/Woodley Section IV,"6450 Woodley Avenue Van Nuys, CA 91406",6,,,x,1,,,,,
Serrania Park ,"20726 Wells Drive Woodland Hills, CA 91364",3,,,x,3,,2,1,,
Shadow Ranch Park ,"22633 Vanowen Street Woodland Hills, CA 91307",12,,,x,7,1,8,,,
Shane's Inspiration ,"4730 Crystal Springs Drive Los Angeles, CA 90027",4,,,x,1,1,10,,,
Shatto Recreation Center ,"3191 West 4th Street Los Angeles, CA 90020 ",10,,,x,2,,5,,,
Sheldon Skate Park ,"12511 Sheldon Street Sun Valley, CA 91352",6,,x,,2,,,,,
Sheldon -Arleta Park (Ceasar Chavez Park) ,"12455 Wicks Street Sun Valley, CA 91352",6,,x,,1,1,,,,
Sherman Oaks East Valley Adult Center ,"5056 Van Nuys Blvd. Sherman Oaks, CA 91403",4,,,x,2,,6,,,
Silver Lake Meadows ,"1850 West Silver Lake Drive Los Angeles, CA 90026",13,,x,,1,,,,,
Silver Lake Recreation Center ,"1850 West Silver Lake Drive Los Angeles, CA 90026",13,,,x,4,,3,2,,
Slauson Recreation Center ,"5306 South Compton Avenue Los Angeles, CA 90011",9,,,x,,2,2,,,
South Broadway Pocket Park,"317 West 52nd Place Los Angeles, CA 90037",9,,x,,1,,,,,
Leimert Plaza Park ,"4395 Leimert Boulevard Los Angeles, CA 90008 ",10,,,x,,2,8,,,
South Los Angeles Wetlands Park,"54th Street and Avalon Los Angeles, CA 90011",9,,x,,1,,,,,
South Park Recreation Center ,"345 East 51st Street Los Angeles, CA 90011",9,,,x,4,5,8,1,,
South Seas House ,"2323 Arlington Avenue Los Angeles, CA 90018",10,x,,,,,2,,1,
76th Street Park,"833 West 76th Street Los Angeles, CA 90044",14,,x,,1,,,,,
South Weddington Park ,"10800 Valley Heart Drive North Hollywood, CA 91602",2,,,x,5,,2,,,
Spring Street Park ,"428 South Spring Street  Los Angeles, CA 90013",14,,x,,1,,,,,
Jacaranda Park ,"700 East 98th Street Los Angeles, CA 90002",8,,x,,,2,,,,
State Street Recreation Center ,"716 North State Street Los Angeles, CA 90033",14,,,x,3,,5,,,
Stetson Ranch ,"13877 Glenoaks Blvd. Sylmar, CA ",7,,x,,1,,,,,
Stonehurst Recreation Center ,"9901 Dronefield St. Sun Valley, CA 91352",7,,,x,3,,7,,,
Stoner Recreation Center ,"1835 Stoner Avenue Los Angeles, CA 90025",11,,,x,7,,5,5,1,
Studio City Recreation Center ,"12621 Rye Street Studio City, CA 91604",4,,x,,6,,,,,
Sun Valley Recreation Center ,"8133 Vineland Avenue Sun Valley, CA 91352",6,,,x,9,1,8,,,
Sunland Recreation Center ,"8651 Foothill Blvd. Sunland, CA 91040 ",7,,,x,6,,4,2,,
Sunland Senior Citizen Center ,"8640 Fenwick Street Sunland, CA 91040",7,,,x,3,1,2,2,,
Sycamore Grove Park ,"4702 North Figueroa Street Los Angeles, CA 90042",1,,,x,5,1,2,1,,
Sylmar Recreation Center ,"13109 Borden Avenue Sylmar, CA 91342",7,,,x,5,2,4,2,,
Tarzana Child Care Center ,"5700 Beckford Avenue Tarzana, CA 91356",3,,,x,4,,6,,,
Tarzana Recreation Center,"5655 Vanalden Avenue Tarzana, CA 91356 ",3,,,x,3,1,5,1,,
Taxco Trails Park ,"23367 Ingomar Streets West Hills, CA 91304",12,,x,,1,,,,,
Temescal Canyon Park ,"15900 Pacific Coast Highway Pacific Palisades, CA 90272 ",11,,,x,6,1,4,1,,
Three Mile Tree ,"4730 Crystal Springs Drive Los Angeles, CA 90027",4,,x,,,1,,,,
Tiara Street Park ,"11480 West Tiara Street Los Angeles, CA 91601",2,,,x,3,,,,,
Toberman Recreation Center ,"1725 Toberman Street Los Angeles, CA 90015",1,,,x,2,1,4,1,1,
Tobias Avenue Park ,"9122 Tobias Avenue Panorama City, CA 91402",6,,x,,1,,,,,
Tommy Lasorda Field of Dreams ,"1901 Waterloo Street Los Angeles, CA 90039",13,,,x,1,,2,,,
Travel Town Transportation Museum ,"5200 Zoo Drive Los Angeles, CA 90027",4,,,x,3,,2,2,,
Trinity Recreation Center ,"2415 Trinity Street Los Angeles, CA 90011",9,,,x,1,1,5,1,,
Unidad Park ,"1644 West Beverly Boulevard Los Angeles, CA 90027",13,,x,,1,,,,,
Valley Glen Community Park,"Erwin Street and Ethel Avenue Van Nuy, CA 91436",2,,x,,1,,,,,
Valey Plaza Park Nature Center ,"6911 Laurelgrove Avenue North Hollywood, CA 91605",2,,,x,,1,2,,,
Valley Plaza Recreation Center ,"12240 Archwood Street North Hollywood, CA 91606",2,,,x,3,2,5,2,,
Valley Plaza Sports Complex,"7000 Whitsett Avenue North Hollywood, CA 91606",2,,,x,3,2,5,2,,
Valley Region Headquarters ,"6335 Woodley Avenue Van Nuys, CA 91406",6,,x,,2,,,,,
Valley Village Park ,"500 Westpark Drive North Hollywood, CA 91601",2,,,x,2,,2,,,
Jackie Tatum Harvard ,"1535 West 62nd Street Los Angeles, CA 90047",8,,,x,6,1,5,,,
Mount Carmel Recreation Center ,"830 W 70th Street Los Angeles, CA 90044",14,,,x,5,1,6,,,
Van Nuys Recreation Center ,"14301 Vanowen Street Van Nuys, CA 91405",6,,,x,1,2,4,,,
Van Nuys Sherman Oaks Recreation Center,"14201 Huston Street Sherman Oaks, CA 91423 ",4,,,x,14,3,9,1,,
Venice Beach ,"1800 Ocean Front Walk Venice, CA 90291",11,,,x,25,2,55,6,,
Vermont & Gage Park,"999 W Gage Ave, Los Angeles, CA 90044",9,,x,,,1,,,,
Vermont Canyon Tennis Courts ,"2715 Vermont Canyon Los Angeles, CA 90027",4,,,x,4,,2,,,
Vermont Miracle Mile ,"956 West 81st Street Los Angeles, CA 90044",8,,x,,1,,,,,
Vermont Square Park ,"1248 West 47th Street Los Angeles, CA 90037",9,,,x,,2,3,,,
Vernon Park ,"4501 South Central Ave Los Angeles, CA 90011",9,,x,,1,,,,,
Victory Memorial Grove Elysian Park ,"929 Academy Road Los Angeles, CA 90012",1,,x,,1,,,,,
Victory Vineland Recreation Center ,"11117 Victory Blvd. North Hollywood, CA 91606 ",2,,,x,2,1,5,,,
Victory Valley Child Care,"6451 Saint Clair Avenue North Hollywood, CA 91606",2,,,x,2,,4,,,
Viking Park ,"11500 Viking Avenue Northridge, CA 91326 ",12,,x,,1,,,,,
Villa Cabrini Park ,"9401 Villa Cabrini Drive West Sun Valley, CA 91504",2,,x,,2,,,,,
Vineyard Recreation/ Senior Center ,"2942 Vineyard Avenue Los Angeles, CA 90016",10,,,x,2,1,6,,,
Vista Del Valle ,"Vista Del Valle Drive Los Angeles, CA 90026",4,,x,,1,1,,,,
Vista Hermosa Park ,"100 North Toluca Street Los Angeles, CA 90026",1,,,x,1,,2,1,,
Wabash Recreation Center ,"2765 Wabash Avenue Los Angeles, CA 90033",14,,,x,,1,3,,1,
Wall Street Park ,"8620 Wall Street Los Angeles, CA 90003",9,,x,,,1,,,,
Warner Center Ranch Park ,"5800 Topanga Canyon Blvd. Woodland Hills, CA 91367",3,,,x,4,1,2,,,
Watson and O Street Park ,"1300 East O Street Wilmington, CA 90744",15,,x,,1,,,,,
Wattles Garden Park ,"1850 N Curson Avenue Los Angeles, CA 90046 ",4,,x,,1,,,,,
Watts Cultural Crescent ,"1727 E 107th Street Los Angeles, CA 90002",15,,x,,1,,,,,
Watts Senior Citizen Center ,"1657 East Century Boulevard Los Angeles, CA 90002",15,,,x,2,,5,,,
Watts Serenity Park ,"11300 Monitor Avenue Los Angeles, CA 90059",15,,x,,1,,,,,
West Adams Height Park ,"1903 West Cordova Los Angeles, CA 90018",10,,x,,1,,,,,
West Hills Sports Center/ Adam Bischoff Memorial Soccer Fields ,"6900 Valley Circle Drive West Hills, CA 91307 ",12,,x,,2,,,,,
West Lakeside Street Park,"15275 West Lakeside Park Sylmar, CA 91342",7,,,x,,3,2,4,,
Westchester Recreation Center ,"7000 West Manchester Avenue Los Angeles, CA 90045",11,,,x,2,4,10,,,
Westchester Senior Citizen Center,"8740 Lincoln Blvd Los Angeles, CA 90045",11,,x,,2,,,,,
Westside Neighborhood Park,"3085 Clyde Avenue Los Angeles, CA 90016",10,,x,,1,,,,,
Westwood Garden Park ,"10861 Wellworth Avenue Los Angeles, CA 90064",5,,x,,,1,,,,
Westwood Recreation Center ,"1350 Sepulveda Blvd Los Angeles, CA 90025",5,,,x,8,4,5,2,1,
White Point Nature Preserve ,"1600 W Paseo Del Mar San Pedro, CA 90731",15,,,x,1,,3,1,,
Whitnall Highway Off-Leash Dog Park ,"5801 1/2 Whitnall Highway North Hollywood, CA 91601",2,,x,,1,2,,,,
Wilbur-Tampa Park ,"12001 Wilber Avenue Northridge, CA 91326",12,,x,,2,,,,,
Wilders Addition (Point Fermin Park) ,"607 Paseo del Mar San Pedro, CA 90731",15,,,x,,1,2,,,
Wilmington Athletic Complex ,"1700 S Figueroa Street Wilmington, CA 90744",15,,,x,1,,2,,,
Wilmington Recreation Center ,"325 North Neptune Avenue Wilmington, CA 90744",15,,,x,1,1,3,,,
Wilmington Town Square ,"105 West I Street Wilmington, CA 90744",15,,x,,,1,,,,
Winnetka Child Center ,"8361 Winnetka Avenue Winnetka, CA 91306",3,,,x,2,,4,,,
Winnetka Recreation Center ,"8401 Winnetka Avenue Winnetka, CA 91306",3,,,x,4,,5,,,
Woodbine Park ,"3409 Winton Avenue Los Angeles, CA 90034",5,,x,,1,,,,,
Woodbridge Park ,"11240 Moorpark Street Studio City, CA 91602",2,,x,,1,1,,,,
Woodland Hills Recreation Center ,"5858 Shoup Avenue Woodland Hills, CA 91367 ",3,,,x,6,1,8,5,,
Woodley Park Apollo 11 Model Aircraft Field ,"6201 Woodley Avenue Encino, CA 91436",6,,,x,1,,2,,,
Woodley Park Archery Range ,"6100 Woodley Avenue Van Nuys, CA 91406 ",6,,,x,1,,2,,,
Woodley Park Section I,"6350 Woodley Avenue Van Nuys, CA 91406 ",6,,,x,4,1,2,,,
Woodley Park Section II ,"6350 Woodley Avenue Van Nuys, CA 91406 ",6,,,x,4,,2,,,
Woodley Park Section III ,"6350 Woodley Avenue Van Nuys, CA 91406 ",6,,,x,1,,2,,,
York Boulevard Park,"4948 York Boulevard Los Angeles, CA 90042",14,,,x,1,,2,,,
Yosemite Recreation Center,"1840 Yosemite Drive Los Angeles, CA 90041",14,,,x,3,1,6,2,,
Yucca Park Community Center,"6671 Yucca Street Los Angeles, CA 90028",13,,,x,4,,4,,,
Zelzah Park ,"11690 Zelzah Avenue Granada Hills, CA 91344",12,,x,,1,,,,,
Gloria Molina Grand Park,"200 N Grand Ave, Los Angeles, CA 90012",14,,,x,,,,,,
North Hollywood Senior Citizen Center ,"5301 Tujunga Ave. North Hollywood, CA 91601",2,,,,,,,,,X
