Facility Information ,,,,,,No. Of Water Fountains,,Restroom Type,No. of Baby Changing Stations,No. of Showers,Cooling Center
Facility Name ,Facility Address,CD,Bathroom ONLY,Water ONLY,Combo: Bathroom + Water,Standard,Bottle Fillers ,Number of Restrooms,,,
Carlton Way Park ,"5927 Carlton Way Los Angeles, CA 90028 ",13,,x,,1,,,,,
Castle Peak Park ,"24220 1/2 Clarington Drive West Hills, CA 91304",12,,x,,,1,,,,
Denker Recreation Center ,"1550 West 35th Place Los Angeles, CA 90018",8,,,x,2,1,5,,,
Central Recreation Center ,"1357 East 22nd Street Los Angeles, CA 90011",9,,,x,3,,2,,,
Central Service Yard ,"3900 Chevy Chase Drive Los Angeles, CA 90027 ",13,,x,,,1,,,,
Charlie Turner Trail ,"2840 W Observatory Road Los Angeles, CA 90027",4,,x,,,1,,,,
Chatsworth Oaks Park,"9301 Valley Circle Blvd. Chatsworth, CA 91311",12,,x,,1,,,,,
Chatsworth Park North ,"22300 Chatsworth Street Chatsworth, CA 91311",12,,,x,5,,2,,,
Chatsworth Park South ,"22360 Devonshire Street Chatsworth, CA 91311",12,,,x,4,,5,,,
Checkerboard (Park Center) ,"4730 Crystal Springs Drive Los Angeles, CA 90027",4,,,x,1,,5,,,
Little Green Acres Park ,"10420 S Vermont Ave. Los Angeles, CA 90044",8,,x,,1,,,,,
Cheviot Hills Recreation Center,"2551 Motor Avenue Los Angeles, CA 90064",5,,,x,1,1,5,,,
Chevy Chase Recreation Center ,"4165 Chevy Chase Drive Los Angeles, CA 90039 ",13,,,x,1,1,5,,,
Claude Pepper Senior Citizen Center ,"1762 South La Cienega Blvd. Los Angeles, CA 90035",10,,,x,1,,3,,,
Cleland Avenue Bicentennial Park ,"4800 Cleland Avenue Los Angeles, CA 90042",1,,x,,1,1,,,,
Cotanso Fire Station 94 Park ,"5340 Canoga Avenue Woodland Hills, CA 91364",3,,x,,1,,,,,
Costello Recreation Center,"3141 East Olympic Blvd. Los Angeles, CA 90023",14,,,x,1,,3,,1,
Country Club Heritage Plaza Park AKA Wilton Place Park ,"1015 South Wilton Place Los Angeles, CA 90018",10,,x,,1,,,,,
Coyote Island (Griffith Park) ,2700 North Vermont Avenue Los Angeles 90027 ,4,,,x,,1,,,,
Crestwood Hills Recreation Center,"1000 Hanley Avenue Los Angeles, CA 90049",11,,,x,2,,3,1,,
Crystal Springs Picnic Area ,"4730 Crystal Springs Drive Los Angeles, CA 90027",4,,,x,6,,2,,,
Culver Slauson Recreation Center ,"5072 South Slauson Avenue Culver City, CA 90230 ",11,,,x,3,,4,,,
Loren Miller Recreation Center ,"2717 Halldale Ave. Los Angeles, CA 90018",8,,,x,3,2,8,2,,
Cypress Park Recreation Center ,"2630 Pepper Avenue Los Angeles, CA 90065",1,,,x,3,1,6,,,
Dante's View ,"4730 Crystal Springs Drive Los Angeles, CA 90027 ",4,,,x,1,,,,,
David M. Gonzalez Recreation Center,"10943 Herrick Avenue Pacoima, CA 91331 ",7,,,x,2,,6,4,,
De Gamo Park ,"101485 Arminita Street Sun Valley, CA 91352",2,,x,,1,,,,,
De Longpre Park ,"1350 North Cherokee Avenue Los Angeles, CA 90028",13,,x,,,1,,,,
Dearborn Park ,"17141 Nordhoff Street Northridge, CA 91325",12,,,x,3,1,2,,,
Del Rey Lagoon ,"6660 Esplanade Place Playa Del Rey, CA 90293",11,,,x,1,,2,2,,
Delano Recreation Center ,"15100 Erwin Street Van Nuys, CA 91411",6,,,x,1,1,5,4,,
Martin Luther King Recreation Center ,"3916 S Western Avenue Los Angeles, CA 90062 ",8,,,x,2,1,9,,,
Devonshire Arleta Park ,"14215 West Devonshire Street Pacoima, CA 91331",6,,x,,1,,,,,
Devonshire House (Northridge Park) ,"18300 Lemarsh Street Northridge, CA 91324",12,x,,,,,2,,,
Devonwood Park,"10230 Woodman Avenue Mission Hills, CA 91345",7,,x,,,1,,,,
Dorothy J. and Benjamin B Smith Park,"7020 Franklin Avenue Los Angeles, CA 90028",13,,x,,,1,,,,
Downey Child Care Center,"219 South Avenue 18 Los Angeles, CA 90031",1,,,x,2,,4,2,,
Downey Recreation Center,"1772 North Spring Street Los Angeles, CA 90031",1,,,x,,2,5,3,1,
Drum Barracks Civil War Museum ,"1052 Banning Blvd Wilmington, CA 90744",15,,x,,1,,,,,
Eagle Rock Child Care Center,"1102 Eagle Vista Drive Los Angeles, CA 90041",14,,,x,1,,3,,,
Eagle Rock Dog Park ,"1100 Eagle Vista Drive Los Angeles, CA 90041",14,,x,,,1,,,,
Eagle Rock Recreation Center ,"1100 Eagle Vista Drive Los Angeles, CA 90041",14,,,x,8,,7,,1,
East Wilmington Green Belt Pocket Park,"1300 East L Street Wilmington, CA 90744",15,,,x,2,2,2,,,
East Wilmington Greenbelt Community Center ,"918 North Sanford Avenue Wilmington, CA 90744",15,,,x,1,,2,2,,
Echo Park Community Center,"303 Patton Street Los Angeles, CA 90026 ",1,,,x,1,,4,2,,
Echo Park Lake ,"751 Echo Park Avenue Los Angeles, CA 90026",13,,,x,4,3,20,,,
Echo Park Recreation Center ,"1632 Bellevue Avenue Los Angeles, CA 90026",13,,,x,4,2,8,2,,
Echo Park Youth Center,"515 La Veta Terrace Los Angeles, CA 90026",13,,,x,2,,2,,,
El Sereno North Park (La Guardia Park) ,"4410 Garden Homes Ave, Los Angeles, CA 90032",14,,,x,2,,3,,,
El Sereno Recreation Center,"4721 Klamath Street Los Angeles, CA 90032",14,,,x,2,3,5,4,,
El Sereno Senior Citizen Center,"4818 Klamath Street Los Angeles, CA 90032",14,,,x,1,,2,,,
ELA Park,"2500 North Eastlake Avenue Los Angeles, CA 90031",14,,x,,1,,,,,
Elysian Park ,"929 Academy Road Los Angeles, CA 90012",1,,,x,13,2,20,3,,
Elysian Theraputic Recreation Center ,"929 Academy Road Los Angeles, CA 90012",1,,,x,3,1,3,,,
Elysian Valley Recreation Center,"1811 Ripple Street Los Angeles, CA 90039",13,,,x,2,1,5,,,
Encino Community Center/Park,16953 Ventura Blvd. Encino CA 91316,4,,,x,2,1,2,,1,
Ernest E Debs Regional Park,"4235 Monterey Road Los Angeles, CA 90032",1,,,x,4,,2,,,
Evergreen Recreation Center,"2844 East 2nd Street Los Angeles, CA 90033",14,,,x,4,1,5,2,,
Evergreen Youth Activity Center,"211 South Evergreen Avenue Los Angeles, CA 90033",14,,,x,1,,3,,,
Fairfax Senior Center ,"7929 Melrose Avenue Los Angeles, CA 90046",5,,,x,2,,4,,,
Fehlhaber-Houk Park,"9521 Tujunga Canyon Blvd. Tujunga, CA 91042",7,,x,,1,,,,,
Felicia Mahood Senior Multipurpose Center ,"11338 Santa Monica Blvd Los Angeles, CA 90025",11,,,x,2,,2,,,
Fern Dell ,"Fern Dell Drive Los Angeles, CA 90027",4,,,x,10,,2,,1,
Fernangeles Recreation Center,"8851 Laurel Canyon Blvd. Sun Valley, CA 91352",6,,,x,5,,6,1,,
Ferraro Dog Park,"5101 North Zoo Drive Los Angeles, CA 90027",4,,x,,5,,,,,
Ferraro Soccer Complex ,"5101 North Zoo Drive Los Angeles, CA 90027",4,,,x,,1,7,,,
Field of Dreams Soccer Complex," 501 Westmount Drive San Pedro, CA 90743",15,,,x,8,,10,,,
Fort Macarthur Military Museum ,"360 S Gaffey Street San Pedro, CA 90731",15,x,,,,,2,,,
Four Oaks Park ,"7499 Melba Avenue West Hills, CA 91307",12,,x,,1,,,,,
Franklin Ivar Park ,"1900 Ivar Avenue Los Angeles, CA 90028",4,,x,,1,,,,,
Fred Roberts Recreation Center,"4700 South Honduras Street Los Angeles, CA 90011",9,,,x,3,,3,1,,
Fulton Avenue Park,"13255 Fulton Avenue North Hollywood, CA 91605",2,,x,,1,,,,,
Gabrieleno Equestrian Park (Orcas Park),"11126 Orcas Avenue Sunland, CA 91040 ",7,,,x,6,,2,,,
Gaffey Steet Green Belt ,"1791 North Gaffey Street San Pedro, CA 90731 ",15,,x,,2,,,,,
Garvanza Park ,"6240 Meridian Street Los Angeles, CA 90042",14,,x,,4,,,,,
Genesse Avenue Park ,2330 S Genesse Avenue Los Angeles CA 90019,10,,x,,1,,,,,
